Risk Number,Date Raised,Raised By,Risk Item,Risk Issue,Impact Statement,Impacted Area,Risk Category,Related Laws/Regulations,Non-Compliance Impact,Probability (Initial),Impact (Initial),Initial Risk Score,Initial Risk Rating,Outcome Definition,Risk Owner,Controls/Mitigations,Probability (Residual),Impact (Residual),Residual Risk Score,Residual Risk Rating,Actions Text (Current),Notes / History,Risk Status,Review Date,Age (Days),Source Department,Source Last Review Date,Source Due Date
1011,20/01/2025,K. King,Insider Threat (Data Theft),Disgruntled employee accessing sensitive IP.,Loss of competitive advantage; potential legal action.,IT Security,Security,Trade Secrets Act,Legal injunction and damages.,3,5,15,High,Restrict access to only required sensitive files (Principle of Least Privilege).,CISO,Implement tighter access controls and conduct regular audits.,1,2,2,Low,Audit user access rights to R&D folder.,,Open,25/01/2026,303,IT Services,01/07/2025,15/01/2026
1012,15/02/2025,L. Lane,Lack of Digital Accessibility,Failure to comply with WCAG standards on public website.,Legal challenge; loss of government contracts.,Marketing/Legal,Compliance,WCAG 2.1 AA,Legal suit under ADA (US) or equivalent.,4,3,12,High,Achieve WCAG 2.1 AA compliance across 90% of web content.,Marketing Director,Conduct third-party accessibility audit and implement remediation plan.,2,2,4,Low,Complete accessibility audit report.,,In Progress,20/11/2025,277,Marketing,01/06/2025,10/11/2025
1013,01/03/2025,M. Miller,Poor Change Management,Unscheduled or poorly tested system changes.,"System downtime, service disruption, and rollback costs.",IT Operations,Operational,ITIL,N/A,4,4,16,Critical,Achieve zero unauthorized high-impact changes.,Change Manager,Mandatory use of Change Management Board (CMB) and staged rollout.,2,3,6,Medium,Train 100% of IT staff on new change process.,,Open,01/04/2026,263,IT Operations,15/09/2025,01/03/2026
1014,10/04/2025,N. Noon,Foreign Exchange Rate Volatility,High reliance on non-USD supply contracts.,Erosion of profit margin by 10% in Q4.,Finance,Financial,None,N/A,3,4,12,High,Hedge 75% of non-USD exposure through forward contracts.,Treasurer,Establish hedging limits and execute contracts.,2,2,4,Low,Finalise forward contract agreement with bank.,,In Progress,01/01/2026,223,Finance,01/09/2025,15/12/2025
1015,20/05/2025,O. Owen,Data Centre Flooding Risk,Location in a known flood plain.,Total infrastructure loss; business continuity failure.,Facilities,External,Local Planning Regs,"Environmental damage, inability to trade.",1,5,5,Low,"Migrate critical infrastructure to an offsite, high-ground data centre.",CTO,Finalise contract for secondary cloud region migration.,1,1,1,Low,Complete phase 1 cloud migration.,,Open,01/06/2026,182,IT Infrastructure,01/10/2025,01/05/2026
1016,15/06/2025,P. Price,Vendor Lock-in,Inability to switch key CRM provider.,Exorbitant renewal fees; limited feature roadmap.,Sales,Contractual,Competition Law,Unfavourable contractual terms.,3,3,9,Medium,Develop a strategy to migrate 20% of users to an alternative platform.,Sales Director,Review alternative CRM solutions and conduct cost analysis.,2,2,4,Low,Present CRM strategy paper to executive team.,,In Progress,25/12/2025,156,Sales,01/09/2025,01/12/2025
1017,25/07/2025,Q. Quinn,Poor Disaster Recovery Plan,DR plan not tested or documented since 2020.,Prolonged recovery time following a disaster event.,IT Operations,Technology,None,N/A,4,5,20,Critical,"Conduct bi-annual, full-scale disaster recovery tests.",DR Lead,Update DR documentation and schedule first test run.,2,3,6,Medium,Execute first DR test and document lessons learned.,,Open,15/03/2026,126,IT Operations,01/11/2025,28/02/2026
1018,10/08/2025,R. Ross,Inadequate Training on New System,Employees are misusing the new billing platform.,"Billing errors, customer complaints, and revenue leakage.",Training,Operational,None,N/A,3,3,9,Medium,Achieve 95% proficiency rating in the new system after training.,Training Manager,Develop and deploy mandatory training modules for all relevant staff.,2,1,2,Low,Complete mandatory training rollout.,,In Progress,15/11/2025,101,HR/Training,01/09/2025,01/11/2025
1019,20/09/2025,S. Scott,Cryptocurrency Ransomware Attack,Phishing successful; data encrypted across the network.,Full business halt; demanded ransom payment.,IT Security,Security,CFAA (US),Loss of service and financial loss.,4,5,20,Critical,Isolate network and restore services from clean backup within 48 hours.,CISO,Implement 24/7 endpoint detection and response (EDR) and mandatory MFA.,1,3,3,Low,Verify EDR coverage across all endpoints.,,Open,01/02/2026,62,Security,15/10/2025,01/01/2026
1020,25/10/2025,T. Tyler,Political Instability in Key Market,New legislation impacts operating model.,Loss of market access or increased operational costs by 30%.,Strategy,External,Local Commercial Law,Inability to operate in region.,3,4,12,High,Diversify revenue streams to reduce dependency on Market X to under 10%.,Head of Strategy,Identify and target two new international markets.,2,2,4,Low,Present diversification plan to the board.,,In Progress,01/05/2026,27,Strategy,01/11/2025,01/04/2026
1021,05/01/2025,U. Ulrich,Equipment Obsolescence,Unsupported operating systems on production equipment.,Security vulnerability; inability to get vendor support.,IT Infrastructure,Technology,None,N/A,3,4,12,High,Achieve 100% compliant OS usage across all production devices.,IT Manager,Complete hardware and OS upgrade program.,2,2,4,Low,Complete 50% of scheduled OS upgrades.,,Open,01/01/2026,318,IT Services,01/06/2025,15/12/2025
1022,28/02/2025,V. Vega,Health & Safety Incident,Poor guarding on factory equipment.,Serious employee injury; regulatory investigation.,Operations,Compliance,OSHA/HSE Regulations,Prosecution and high compensation costs.,2,5,10,Medium,Achieve zero lost-time incidents in a calendar year.,Operations Manager,Conduct full site safety audit and implement necessary physical controls.,1,3,3,Low,Finalise site safety audit report.,,In Progress,20/11/2025,264,Operations,01/08/2025,10/11/2025
1023,15/03/2025,W. White,Interest Rate Increase,Borrowing costs rise unexpectedly.,Increased cost of debt by $1M annually.,Finance,Financial,None,N/A,3,3,9,Medium,Ensure floating debt exposure is below 40% of total debt.,Treasurer,Execute interest rate swap or hedge on variable loans.,2,2,4,Low,Finalise hedging strategy with bank.,,Closed,01/10/2025,259,Finance,01/10/2025,01/10/2025
1024,25/04/2025,X. Xander,Unclear Contract Terms,Ambiguity in service agreement with major vendor.,Dispute leading to litigation or service withdrawal.,Legal,Contractual,Commercial Law,Breach of contract litigation.,3,4,12,High,Review and standardize master service agreement (MSA) template.,Legal Counsel,Engage external counsel to review MSA template.,2,1,2,Low,Complete review of five key vendor contracts.,,Open,20/01/2026,218,Legal,01/10/2025,15/01/2026
1025,01/05/2025,Y. Young,Loss of Business Critical Data,Accidental deletion by user; insufficient backup retention.,Inability to recover 6 months of historical transaction data.,IT Infrastructure,Operational,None,N/A,2,5,10,Medium,Ensure 1-year backup retention with verifiable restoration testing.,Backup Administrator,Implement separate offsite storage for long-term backups.,1,2,2,Low,Verify restoration success on 3 test files.,,In Progress,01/03/2026,201,IT Services,15/10/2025,15/02/2026
1026,20/06/2025,Z. Zappa,Reputational Damage (Social Media),Negative campaign or product failure review goes viral.,Loss of 20% consumer confidence; stock price drop.,Marketing,External,Consumer Protection Laws,Stock price correction.,3,5,15,High,Implement 24/7 social media monitoring and rapid response team.,Comms Director,Define crisis communication plan and conduct mock exercise.,2,2,4,Low,Complete crisis response team training.,,Open,31/12/2025,151,Marketing,01/10/2025,15/12/2025
1027,05/07/2025,A. Adam,Project Scope Creep,Uncontrolled expansion of project requirements.,Budget overruns by 40%; delayed delivery by 6 months.,Project Management,Operational,None,N/A,4,3,12,High,Enforce formal scope change request process across all projects.,PMO Head,Train PMs on scope change control and sign-off procedures.,2,1,2,Low,Audit 3 active projects for scope change compliance.,,In Progress,01/04/2026,136,PMO,01/11/2025,01/03/2026
1028,20/08/2025,B. Bell,Mobile Device Theft,Unencrypted company laptop stolen from public place.,Exposure of sensitive data; compliance breach.,Security,Security,GDPR,Data breach notification and fine.,3,4,12,High,Enforce 100% disk encryption and mandatory remote wipe capability.,IT Security Analyst,Verify encryption status on all mobile devices.,1,2,2,Low,Confirm 100% encryption and MDM policy is active.,,Closed,20/10/2025,91,Security,20/10/2025,20/10/2025
1029,10/09/2025,C. Cole,Regulatory Reporting Error,Incorrect calculation in quarterly compliance filing.,Regulatory sanction and forced resubmission.,Legal/Compliance,Compliance,AML/KYC,Sanction from financial regulator.,3,4,12,High,Automate all high-risk regulatory reporting calculations.,Compliance Officer,Procure and implement regulatory reporting software.,2,1,2,Low,Complete internal verification of Q4 report.,,Open,10/02/2026,72,Legal,10/10/2025,30/01/2026
1030,01/10/2025,D. Dean,Loss of Key Investor/Partner,Failure to meet projected returns or strategic goals.,Withdrawal of critical funding for the next financial year.,Strategy,Financial,None,N/A,4,4,16,Critical,Maintain strong communication and achieve 90% of key strategic milestones.,CEO,Schedule monthly strategic update meetings with all key partners.,3,2,6,Medium,Prepare updated strategic roadmap for Q1 2026.,,In Progress,15/05/2026,51,Executive,01/11/2025,01/04/2026
